"ID","Set","Category","Card Type","Level","Suggested Mode","Depth","Prompt","Design Treatment","Facilitator Note","Rationale"
"COM-20","Community Edition","Community Edition","Expansion","Level 2","Community","Medium","What is one topic that divides people too quickly?","Warm Gold / Teal","Suitable for early playtesting.","Names friction carefully."
"COM-21","Community Edition","Community Edition","Expansion","Level 3","Community","Medium","What is something you would ask someone from another generation?","Warm Gold / Teal","Suitable for early playtesting.","Age bridge."
"COM-22","Community Edition","Community Edition","Expansion","Level 3","Community","Medium","What is something you wish another generation asked you?","Warm Gold / Teal","Suitable for early playtesting.","Reciprocal age bridge."
"COM-23","Community Edition","Community Edition","Expansion","Level 3","Community","Low","What is one way technology helps you feel connected?","Warm Gold / Teal","Suitable for early playtesting.","Digital connection."
"COM-24","Community Edition","Community Edition","Expansion","Level 3","Community","Medium","What is one way technology makes connection harder?","Warm Gold / Teal","Suitable for early playtesting.","Digital tension."
"COM-25","Community Edition","Community Edition","Expansion","Level 3","Community","Low","What does a good neighbor do?","Warm Gold / Teal","Suitable for early playtesting.","Simple civic intimacy."
"COM-26","Community Edition","Community Edition","Expansion","Level 3","Community","High","What is one thing people could do to make loneliness easier to name?","Warm Gold / Teal","Best after trust has warmed up; passing is always allowed.","Direct mission prompt."
"COM-27","Community Edition","Community Edition","Expansion","Level 3","Community","Medium","What is a public moment when you felt seen?","Warm Gold / Teal","Suitable for early playtesting.","Story of recognition."
"COM-28","Community Edition","Community Edition","Expansion","Level 3","Community","High","What is a public moment when you felt invisible?","Warm Gold / Teal","Best after trust has warmed up; passing is always allowed.","Story of exclusion."
"COM-29","Community Edition","Community Edition","Expansion","Level 3","Community","Medium","What is one invitation you wish existed?","Warm Gold / Teal","Suitable for early playtesting.","Opportunity for product/community ideas."
"COM-30","Community Edition","Community Edition","Expansion","Level 3","Community","High","What should we build for people who feel outside the circle?","Warm Gold / Teal","Best after trust has warmed up; passing is always allowed.","Strong closing prompt."
"FAC-01","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Low","What level of depth feels right for this room today?","Charcoal / Lavender Clay","Suitable for early playtesting.","Sets consent and pace."
"FAC-02","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Low","What would help everyone feel able to pass honestly?","Charcoal / Lavender Clay","Suitable for early playtesting.","Protects opt-out safety."
"FAC-03","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Low","What is one agreement this group needs before we begin?","Charcoal / Lavender Clay","Suitable for early playtesting.","Creates norms."
"FAC-04","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What should we do if a card lands too heavily?","Charcoal / Lavender Clay","Suitable for early playtesting.","Plans for intensity."
"FAC-05","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Low","What does respectful listening look like here?","Charcoal / Lavender Clay","Suitable for early playtesting.","Clarifies behavior."
"FAC-06","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What is one way this group can avoid fixing each other?","Charcoal / Lavender Clay","Suitable for early playtesting.","Supports non-clinical sharing."
"FAC-07","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What is one question we should not rush?","Charcoal / Lavender Clay","Suitable for early playtesting.","Encourages pacing."
"FAC-08","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What is one sign the room needs a lighter card?","Charcoal / Lavender Clay","Suitable for early playtesting.","Builds facilitator awareness."
"FAC-09","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What is one sign the room is ready to go deeper?","Charcoal / Lavender Clay","Suitable for early playtesting.","Builds facilitator awareness."
"FAC-10","Facilitator Edition","Facilitator Edition","Expansion","Level 1","Facilitator","Medium","What is one voice we have not heard enough from?","Charcoal / Lavender Clay","Suitable for early playtesting.","Improves inclusion."
"FAC-11","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What pattern is showing up in our answers?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Group reflection."
"FAC-12","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","Medium","What feeling has been named more than once?","Charcoal / Lavender Clay","Suitable for early playtesting.","Tracks shared themes."
"FAC-13","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","Medium","What is one moment where the room softened?","Charcoal / Lavender Clay","Suitable for early playtesting.","Notices connection."
"FAC-14","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What is one moment where the room pulled back?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Notices protection."
"FAC-15","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What is one assumption we should set down for the next round?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Encourages openness."
"FAC-16","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","Medium","What is one answer that deserves a follow-up later?","Charcoal / Lavender Clay","Suitable for early playtesting.","Captures future depth."
"FAC-17","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What is something this group is learning about trust?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Meta-conversation."
"FAC-18","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What is something this group is learning about difference?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Meta-conversation."
"FAC-19","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What is something this group is learning about belonging?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Meta-conversation."
"FAC-20","Facilitator Edition","Facilitator Edition","Expansion","Level 2","Facilitator","High","What has become easier to say since we started?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Measures shift."
"FAC-21","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","High","What still feels unsaid, even lightly?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Invites closure without pressure."
"FAC-22","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","High","What should be held privately after this round?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Supports confidentiality."
"FAC-23","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","Medium","What is one thing we can thank the group for?","Charcoal / Lavender Clay","Suitable for early playtesting.","Creates appreciation."
"FAC-24","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","High","What is one thing the group should not carry alone?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Encourages support."
"FAC-25","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","Medium","What would make the next conversation safer?","Charcoal / Lavender Clay","Suitable for early playtesting.","Improves future sessions."
"FAC-26","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","Medium","What would make the next conversation braver?","Charcoal / Lavender Clay","Suitable for early playtesting.","Improves future sessions."
"FAC-27","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","Medium","What is one takeaway you want to keep in motion?","Charcoal / Lavender Clay","Suitable for early playtesting.","Turns insight into action."
"FAC-28","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","High","What is one thing you are leaving with that you did not arrive with?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Closing reflection."
"FAC-29","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","Medium","What should the final word of this room be?","Charcoal / Lavender Clay","Suitable for early playtesting.","Simple group close."
"FAC-30","Facilitator Edition","Facilitator Edition","Expansion","Level 3","Facilitator","High","What do we want to remember about how this felt?","Charcoal / Lavender Clay","Best after trust has warmed up; passing is always allowed.","Emotional closure."
"FD-01","First Date","First Date","Question","Level 1","First Date","Low","What is a small thing that made you smile this week?","Blush / Cream","Suitable for early playtesting.","Opens warmly without pressure."
"FD-02","First Date","First Date","Question","Level 1","First Date","Low","What is your ideal low-pressure first date?","Blush / Cream","Suitable for early playtesting.","Names comfort early."
"FD-03","First Date","First Date","Question","Level 1","First Date","Low","What is a food you could talk about for ten minutes?","Blush / Cream","Suitable for early playtesting.","Easy sensory small talk."
"FD-04","First Date","First Date","Question","Level 1","First Date","Low","What does a good weekend look like for you lately?","Blush / Cream","Suitable for early playtesting.","Reveals lifestyle."
"FD-05","First Date","First Date","Question","Level 1","First Date","Low","What is a place in the city you think more people should know?","Blush / Cream","Suitable for early playtesting.","Local and conversational."
"FD-06","First Date","First Date","Question","Level 1","First Date","Low","What is your current comfort show, song, or meal?","Blush / Cream","Suitable for early playtesting.","Accessible personal taste."
"FD-07","First Date","First Date","Question","Level 1","First Date","Low","What is something you are learning just for fun?","Blush / Cream","Suitable for early playtesting.","Highlights curiosity."
"FD-08","First Date","First Date","Question","Level 1","First Date","Low","What is your favorite way to spend a slow morning?","Blush / Cream","Suitable for early playtesting.","Reveals rhythm and values."
"FD-09","First Date","First Date","Question","Level 1","First Date","Low","What is a tiny hill you will happily defend?","Blush / Cream","Suitable for early playtesting.","Playful disagreement."
"FD-10","First Date","First Date","Question","Level 1","First Date","Medium","What is one thing your friends rely on you for?","Blush / Cream","Suitable for early playtesting.","Gentle character prompt."
"FD-11","First Date","First Date","Question","Level 1","First Date","Medium","What is a book, film, or album that stayed with you?","Blush / Cream","Suitable for early playtesting.","Invites taste and memory."
"FD-12","First Date","First Date","Question","Level 1","First Date","Medium","What is something you have changed your mind about recently?","Blush / Cream","Suitable for early playtesting.","Shows openness."
"FD-13","First Date","First Date","Question","Level 1","First Date","Medium","What kind of conversations make you forget your phone?","Blush / Cream","Suitable for early playtesting.","Directly names connection style."
"FD-14","First Date","First Date","Question","Level 1","First Date","Low","What is one thing you are looking forward to?","Blush / Cream","Suitable for early playtesting.","Future-oriented and light."
"FD-15","First Date","First Date","Question","Level 1","First Date","Low","What is a hobby you respect but have not tried yet?","Blush / Cream","Suitable for early playtesting.","Playful possibility."
"FD-16","First Date","First Date","Question","Level 1","First Date","Low","What is your favorite kind of weather to be outside in?","Blush / Cream","Suitable for early playtesting.","Simple sensory opener."
"FD-17","First Date","First Date","Question","Level 1","First Date","Medium","What is an ordinary thing you find oddly romantic?","Blush / Cream","Suitable for early playtesting.","Soft romantic cue."
"FD-18","First Date","First Date","Question","Level 2","First Date","Medium","What is your favorite question to ask someone new?","Blush / Cream","Suitable for early playtesting.","Meta-conversation."
"FD-19","First Date","First Date","Question","Level 2","First Date","Medium","What is one thing you notice quickly about people?","Blush / Cream","Suitable for early playtesting.","Reveals perception."
"FD-20","First Date","First Date","Question","Level 2","First Date","Medium","What makes you feel relaxed around someone new?","Blush / Cream","Suitable for early playtesting.","Names safety cues."
"FD-21","First Date","First Date","Question","Level 2","First Date","Low","What is a small sign that a date is going well?","Blush / Cream","Suitable for early playtesting.","Light dating-specific prompt."
"FD-22","First Date","First Date","Question","Level 2","First Date","Medium","What is a green flag you appreciate more now than before?","Blush / Cream","Suitable for early playtesting.","Values without intensity."
"FD-23","First Date","First Date","Question","Level 2","First Date","Medium","What is a first impression people often get right about you?","Blush / Cream","Suitable for early playtesting.","Self-awareness."
"FD-24","First Date","First Date","Question","Level 2","First Date","Medium","What is a first impression people often get wrong about you?","Blush / Cream","Suitable for early playtesting.","Adds nuance."
"FD-25","First Date","First Date","Question","Level 2","First Date","Low","What is a place you would take someone to show your taste?","Blush / Cream","Suitable for early playtesting.","Grounds personality in place."
"FD-26","First Date","First Date","Question","Level 2","First Date","Medium","What is something you care about that you rarely get to explain?","Blush / Cream","Suitable for early playtesting.","Invites depth by choice."
"FD-27","First Date","First Date","Question","Level 2","First Date","Low","What is a song that would be on the soundtrack of your week?","Blush / Cream","Suitable for early playtesting.","Playful and current."
"FD-28","First Date","First Date","Question","Level 2","First Date","Low","What is a small luxury you believe in?","Blush / Cream","Suitable for early playtesting.","Reveals preferences and values."
"FD-29","First Date","First Date","Question","Level 2","First Date","Medium","What is one thing that makes you feel more like yourself?","Blush / Cream","Suitable for early playtesting.","Gentle identity prompt."
"FD-30","First Date","First Date","Question","Level 2","First Date","Medium","What is a question you wish dating apps asked?","Blush / Cream","Suitable for early playtesting.","Dating context with humor."
"FD-31","First Date","First Date","Question","Level 2","First Date","Low","What is something you are surprisingly particular about?","Blush / Cream","Suitable for early playtesting.","Small quirk prompt."
"FD-32","First Date","First Date","Question","Level 2","First Date","Medium","What is a story your friends love telling about you?","Blush / Cream","Suitable for early playtesting.","Invites personality through story."
"FD-33","First Date","First Date","Question","Level 2","First Date","Medium","What is something you hope your next chapter includes?","Blush / Cream","Suitable for early playtesting.","Future without pressure."
"FD-34","First Date","First Date","Question","Level 2","First Date","Low","What is your favorite way to celebrate something small?","Blush / Cream","Suitable for early playtesting.","Joy and rituals."
"FD-35","First Date","First Date","Question","Level 3","First Date","High","What is one value you want your life to make obvious?","Blush / Cream","Best after trust has warmed up; passing is always allowed.","Deeper but still broad."
"FD-36","First Date","First Date","Question","Level 3","First Date","Medium","What is something you are trying to make more room for?","Blush / Cream","Suitable for early playtesting.","Current priorities."
"FD-37","First Date","First Date","Question","Level 3","First Date","Medium","What does being easy to be around mean to you?","Blush / Cream","Suitable for early playtesting.","Relational preference."
"FD-38","First Date","First Date","Question","Level 3","First Date","Medium","What is a compliment that always lands for you?","Blush / Cream","Suitable for early playtesting.","Affection and recognition."
"FD-39","First Date","First Date","Question","Level 3","First Date","Medium","What is a small act of care you notice immediately?","Blush / Cream","Suitable for early playtesting.","Green flag behavior."
"FD-40","First Date","First Date","Question","Level 3","First Date","Medium","What does good chemistry feel like to you?","Blush / Cream","Suitable for early playtesting.","Dating-specific reflection."
"FD-41","First Date","First Date","Question","Level 3","First Date","Low","What is a dating rule you ignore?","Blush / Cream","Suitable for early playtesting.","Playful dating philosophy."
"FD-42","First Date","First Date","Question","Level 3","First Date","Low","What is a dating rule you secretly agree with?","Blush / Cream","Suitable for early playtesting.","Playful dating philosophy."
"FD-43","First Date","First Date","Question","Level 3","First Date","Medium","What is one thing you want someone to be curious about?","Blush / Cream","Suitable for early playtesting.","Invites being seen."
"FD-44","First Date","First Date","Question","Level 3","First Date","Low","What is one thing that makes conversation feel natural?","Blush / Cream","Suitable for early playtesting.","Useful first-date check."
"FD-45","First Date","First Date","Question","Level 3","First Date","Low","What is the best kind of laugh on a date?","Blush / Cream","Suitable for early playtesting.","Light and embodied."
"FD-46","First Date","First Date","Question","Level 3","First Date","Medium","What is a story that explains your sense of humor?","Blush / Cream","Suitable for early playtesting.","Playful self-disclosure."
"FD-47","First Date","First Date","Question","Level 3","First Date","Medium","What is a kind of kindness you never overlook?","Blush / Cream","Suitable for early playtesting.","Values in action."
"FD-48","First Date","First Date","Question","Level 3","First Date","Medium","What is one thing you hope people feel after meeting you?","Blush / Cream","Suitable for early playtesting.","Identity and impact."
"FD-49","First Date","First Date","Question","Level 3","First Date","Medium","What would make tonight feel worth remembering?","Blush / Cream","Suitable for early playtesting.","Soft closing prompt."
"FD-50","First Date","First Date","Question","Level 3","First Date","Medium","What is one question you want to ask before we leave?","Blush / Cream","Suitable for early playtesting.","Creates choice at the end."
"SD-01","Second Date","Second Date","Question","Level 1","Second Date","Medium","What felt easy about our first conversation?","Rose / Teal","Suitable for early playtesting.","Connects to prior date."
"SD-02","Second Date","Second Date","Question","Level 1","Second Date","Medium","What are you more curious about after meeting me?","Rose / Teal","Suitable for early playtesting.","Invites direct interest."
"SD-03","Second Date","Second Date","Question","Level 1","Second Date","High","What is something you usually reveal slowly?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Names pacing and trust."
"SD-04","Second Date","Second Date","Question","Level 1","Second Date","High","What does emotional availability mean to you in practice?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Deep dating alignment."
"SD-05","Second Date","Second Date","Question","Level 1","Second Date","High","What is one pattern you are trying not to repeat?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Growth-oriented."
"SD-06","Second Date","Second Date","Question","Level 1","Second Date","Medium","What helps you open up when you like someone?","Rose / Teal","Suitable for early playtesting.","Practical intimacy."
"SD-07","Second Date","Second Date","Question","Level 1","Second Date","High","What makes you pull back, even if things are going well?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Attachment-aware without labels."
"SD-08","Second Date","Second Date","Question","Level 1","Second Date","High","What is something you want to be understood for?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Core being-seen prompt."
"SD-09","Second Date","Second Date","Question","Level 1","Second Date","Medium","What kind of affection feels natural to you?","Rose / Teal","Suitable for early playtesting.","Love language without jargon."
"SD-10","Second Date","Second Date","Question","Level 1","Second Date","Medium","What kind of attention feels overwhelming?","Rose / Teal","Suitable for early playtesting.","Boundaries and pacing."
"SD-11","Second Date","Second Date","Question","Level 1","Second Date","High","What is one thing you are proud of healing?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Vulnerability with strength."
"SD-12","Second Date","Second Date","Question","Level 1","Second Date","High","What is something you are still learning in relationships?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Growth and humility."
"SD-13","Second Date","Second Date","Question","Level 1","Second Date","High","What do you need more of when life gets heavy?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Support style."
"SD-14","Second Date","Second Date","Question","Level 1","Second Date","Medium","What is a relationship green flag you learned late?","Rose / Teal","Suitable for early playtesting.","Wisdom from experience."
"SD-15","Second Date","Second Date","Question","Level 1","Second Date","High","What is a red flag you no longer negotiate with?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Boundaries."
"SD-16","Second Date","Second Date","Question","Level 1","Second Date","Medium","What does consistency look like to you?","Rose / Teal","Suitable for early playtesting.","Practical alignment."
"SD-17","Second Date","Second Date","Question","Level 1","Second Date","Medium","What makes someone feel trustworthy to you?","Rose / Teal","Suitable for early playtesting.","Trust cues."
"SD-18","Second Date","Second Date","Question","Level 2","Second Date","Medium","What is something you wish people did not assume about your dating life?","Rose / Teal","Suitable for early playtesting.","Counters assumptions."
"SD-19","Second Date","Second Date","Question","Level 2","Second Date","Medium","What is your relationship with alone time?","Rose / Teal","Suitable for early playtesting.","Compatibility insight."
"SD-20","Second Date","Second Date","Question","Level 2","Second Date","High","What is your relationship with conflict?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Important dating topic."
"SD-21","Second Date","Second Date","Question","Level 2","Second Date","High","What do you want to feel more of in your next relationship?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Desire and values."
"SD-22","Second Date","Second Date","Question","Level 2","Second Date","High","What do you want to feel less of in your next relationship?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Boundaries and contrast."
"SD-23","Second Date","Second Date","Question","Level 2","Second Date","High","What is something you are afraid people will misunderstand about you?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Tender self-disclosure."
"SD-24","Second Date","Second Date","Question","Level 2","Second Date","Medium","When do you feel most attractive, beyond appearance?","Rose / Teal","Suitable for early playtesting.","Confidence and identity."
"SD-25","Second Date","Second Date","Question","Level 2","Second Date","High","What kind of reassurance actually helps you?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Practical care."
"SD-26","Second Date","Second Date","Question","Level 2","Second Date","Medium","What is a meaningful compliment you still remember?","Rose / Teal","Suitable for early playtesting.","Affection and memory."
"SD-27","Second Date","Second Date","Question","Level 2","Second Date","High","How do you know when you are starting to care?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Emotional awareness."
"SD-28","Second Date","Second Date","Question","Level 2","Second Date","High","How do you want someone to handle your bad days?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Care instructions."
"SD-29","Second Date","Second Date","Question","Level 2","Second Date","High","What is something dating has taught you about yourself?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Self-insight."
"SD-30","Second Date","Second Date","Question","Level 2","Second Date","Medium","What does effort look like without feeling performative?","Rose / Teal","Suitable for early playtesting.","Dating behavior alignment."
"SD-31","Second Date","Second Date","Question","Level 2","Second Date","Medium","What is something you want to build slowly?","Rose / Teal","Suitable for early playtesting.","Pacing and intention."
"SD-32","Second Date","Second Date","Question","Level 2","Second Date","Medium","What is a promise you make to yourself when dating?","Rose / Teal","Suitable for early playtesting.","Self-respect."
"SD-33","Second Date","Second Date","Question","Level 2","Second Date","High","What is something you are done pretending is fine?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Honest relationship talk."
"SD-34","Second Date","Second Date","Question","Level 2","Second Date","High","What kind of future do you think about quietly?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Future orientation."
"SD-35","Second Date","Second Date","Question","Level 3","Second Date","High","What do you want your love life to protect in you?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Deep values."
"SD-36","Second Date","Second Date","Question","Level 3","Second Date","Medium","What is one thing you are not ready to rush?","Rose / Teal","Suitable for early playtesting.","Pacing."
"SD-37","Second Date","Second Date","Question","Level 3","Second Date","High","What is one thing you do not want to keep vague forever?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Clarity."
"SD-38","Second Date","Second Date","Question","Level 3","Second Date","High","What should someone know before getting close to you?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Consent and self-knowledge."
"SD-39","Second Date","Second Date","Question","Level 3","Second Date","High","What is something you find hard to ask for directly?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Needs and vulnerability."
"SD-40","Second Date","Second Date","Question","Level 3","Second Date","Medium","What kind of honesty feels caring to you?","Rose / Teal","Suitable for early playtesting.","Communication style."
"SD-41","Second Date","Second Date","Question","Level 3","Second Date","Medium","What is one quality you are trying to practice more?","Rose / Teal","Suitable for early playtesting.","Growth."
"SD-42","Second Date","Second Date","Question","Level 3","Second Date","Medium","What is one thing you admire in how I show up so far?","Rose / Teal","Suitable for early playtesting.","Direct appreciation."
"SD-43","Second Date","Second Date","Question","Level 3","Second Date","High","What do you want to ask but are editing yourself around?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Encourages honesty."
"SD-44","Second Date","Second Date","Question","Level 3","Second Date","Medium","What would make this feel less like performing?","Rose / Teal","Suitable for early playtesting.","Authenticity."
"SD-45","Second Date","Second Date","Question","Level 3","Second Date","High","What would make this feel more real?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Depth and clarity."
"SD-46","Second Date","Second Date","Question","Level 3","Second Date","High","What is one story that explains how you love people?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Powerful narrative."
"SD-47","Second Date","Second Date","Question","Level 3","Second Date","High","What do you hope someone notices when they pay attention?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Being seen."
"SD-48","Second Date","Second Date","Question","Level 3","Second Date","High","What is one thing you want to be careful with between us?","Rose / Teal","Best after trust has warmed up; passing is always allowed.","Tender pacing."
"SD-49","Second Date","Second Date","Question","Level 3","Second Date","Medium","What would make a third date feel exciting instead of automatic?","Rose / Teal","Suitable for early playtesting.","Forward momentum."
"SD-50","Second Date","Second Date","Question","Level 3","Second Date","Medium","What should we talk about next time if there is a next time?","Rose / Teal","Suitable for early playtesting.","Closing and continuity."
"TD-01","Third Date","Third Date","Question","Level 1","Third Date","High","What are you hoping this could become, honestly?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Direct relationship clarity."
"TD-02","Third Date","Third Date","Question","Level 1","Third Date","High","What pace feels right to you from here?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Consent and pacing."
"TD-03","Third Date","Third Date","Question","Level 1","Third Date","High","What would make you feel chosen without feeling rushed?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Security and autonomy."
"TD-04","Third Date","Third Date","Question","Level 1","Third Date","High","What do you need to know before you invest emotionally?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Intentional dating."
"TD-05","Third Date","Third Date","Question","Level 1","Third Date","High","What does commitment mean before labels enter the room?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Defines values."
"TD-06","Third Date","Third Date","Question","Level 1","Third Date","High","What are you still unsure about, if anything?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Allows honesty."
"TD-07","Third Date","Third Date","Question","Level 1","Third Date","Medium","What feels promising between us?","Deep Coral / Charcoal","Suitable for early playtesting.","Names potential."
"TD-08","Third Date","Third Date","Question","Level 1","Third Date","Medium","What feels unknown between us?","Deep Coral / Charcoal","Suitable for early playtesting.","Names uncertainty."
"TD-09","Third Date","Third Date","Question","Level 1","Third Date","High","What kind of communication would help this grow well?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Practical alignment."
"TD-10","Third Date","Third Date","Question","Level 1","Third Date","High","What does respect look like when we disagree?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Conflict foundation."
"TD-11","Third Date","Third Date","Question","Level 1","Third Date","High","What is a relationship need you used to minimize?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Growth and self-respect."
"TD-12","Third Date","Third Date","Question","Level 1","Third Date","High","What is a need you are learning to name sooner?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Healthy honesty."
"TD-13","Third Date","Third Date","Question","Level 1","Third Date","High","What is something you will not abandon yourself for again?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Boundaries."
"TD-14","Third Date","Third Date","Question","Level 1","Third Date","High","What does emotional safety look like with someone you are dating?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Core relationship topic."
"TD-15","Third Date","Third Date","Question","Level 1","Third Date","High","What is a boundary that helps you stay open?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Boundaries as care."
"TD-16","Third Date","Third Date","Question","Level 1","Third Date","Medium","What would make dating you easier to understand?","Deep Coral / Charcoal","Suitable for early playtesting.","Self-awareness."
"TD-17","Third Date","Third Date","Question","Level 1","Third Date","Medium","What would make dating me easier to understand?","Deep Coral / Charcoal","Suitable for early playtesting.","Direct curiosity."
"TD-18","Third Date","Third Date","Question","Level 2","Third Date","High","How do you want us to handle mixed signals?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Clarity and respect."
"TD-19","Third Date","Third Date","Question","Level 2","Third Date","High","What does exclusivity mean to you emotionally, not just technically?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Honest relationship talk."
"TD-20","Third Date","Third Date","Question","Level 2","Third Date","High","What do you want to keep spacious, even if this gets closer?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Autonomy and intimacy."
"TD-21","Third Date","Third Date","Question","Level 2","Third Date","High","What should never feel like a guessing game?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Communication clarity."
"TD-22","Third Date","Third Date","Question","Level 2","Third Date","High","What does repair look like after a misunderstanding?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Conflict repair."
"TD-23","Third Date","Third Date","Question","Level 2","Third Date","High","What would help you bring up something difficult?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Safety and skill."
"TD-24","Third Date","Third Date","Question","Level 2","Third Date","High","What is one way you protect yourself that can confuse people?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Attachment behavior with agency."
"TD-25","Third Date","Third Date","Question","Level 2","Third Date","Medium","What is one way you show care that people sometimes miss?","Deep Coral / Charcoal","Suitable for early playtesting.","Love expression."
"TD-26","Third Date","Third Date","Question","Level 2","Third Date","High","What does being seen by me bring up for you?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Direct tenderness."
"TD-27","Third Date","Third Date","Question","Level 2","Third Date","High","What do you want me to be careful with?","Deep Coral / Charcoal","Best after trust has warmed up; passing is always allowed.","Consent and tenderness."
